english,korean,context
I'm running late.,나 지금 늦고 있어.,늦을 것 같을 때
Could you say that again?,다시 말해줄래?,못 알아들었을 때
It's on me.,내가 낼게.,밥값이나 커피를 낼 때
What do you do?,무슨 일 해요?,처음 만난 사람에게
I'll get back to you.,확인하고 연락할게.,바로 답하기 어려울 때
Can I get this to go?,포장해 주세요.,카페나 식당에서
I'm just looking.,그냥 구경 중이에요.,가게 직원이 다가올 때
Excuse me, where is the exit?,실례합니다, 출구가 어디예요?,길을 물을 때
I'm not sure yet.,아직 잘 모르겠어요.,결정을 못 했을 때
That works for me.,그걸로 괜찮아요.,약속 시간을 정할 때
Could you repeat that?,한 번 더 말해줄래?,전화나 대화 중에
I didn't catch that.,못 들었어요.,상대 말을 놓쳤을 때
How much is this?,이거 얼마예요?,물건 값을 물을 때
I'm here for an appointment.,예약하고 왔어요.,병원이나 사무실에서
Can I try this on?,입어 봐도 돼요?,옷 가게에서
I'm good, thanks.,괜찮아요, 고마워요.,정중히 거절할 때
Long time no see.,오랜만이에요.,반가운 사람을 만났을 때
What time does it open?,몇 시에 열어요?,영업 시간을 물을 때
I'll take this one.,이걸로 할게요.,물건을 고를 때
Could you help me?,도와줄 수 있어요?,도움이 필요할 때
I think so.,그런 것 같아요.,가볍게 동의할 때
I don't think so.,아닌 것 같아요.,가볍게 부정할 때
See you around.,다음에 봐요.,가볍게 헤어질 때
My treat.,내가 쏠게.,한턱낼 때
Can you give me a ride?,태워다 줄 수 있어요?,차를 얻어 탈 때
I'm on my way.,지금 가고 있어.,출발했음을 알릴 때
Sounds good.,좋아요.,제안에 동의할 때
Let me think about it.,생각해 볼게요.,결정을 미룰 때
Is this seat taken?,여기 자리 있어요?,빈자리를 물을 때
Keep the change.,잔돈은 가지세요.,팁을 줄 때
